Team,GP,TI,INT,TKL,TA,GK,F,FK,OG
Argentina,7,148,49,77,103,41,98,122,1
Morocco,7,125,44,84,100,75,87,102,1
Australia,4,94,43,36,43,38,51,51,0
Croatia,7,159,42,91,106,51,88,103,0
Brazil,5,101,41,69,90,27,64,83,0
France,7,132,38,97,124,68,66,102,0
Netherlands,5,103,33,56,66,41,84,64,0
England,5,84,29,48,56,35,52,74,0
Cameroon,3,46,28,28,31,36,31,46,0
Uruguay,3,65,28,47,55,24,31,42,0
Iran,3,56,26,30,37,24,39,32,0
Japan,4,71,23,41,50,28,55,45,0
Senegal,4,70,21,39,47,28,47,62,0
Switzerland,4,80,21,27,37,31,51,58,0
Canada,3,73,20,26,27,15,33,41,0
Germany,3,64,20,36,48,16,26,38,1
Qatar,3,53,20,28,34,26,29,55,0
Mexico,3,63,19,35,41,26,50,55,0
Costa Rica,3,43,18,37,46,34,24,45,0
Ecuador,3,66,18,29,39,23,49,48,0
Serbia,3,56,18,33,39,22,43,29,0
South Korea,4,81,18,34,45,27,43,40,0
Saudi Arabia,3,59,17,31,42,30,53,57,0
Wales,3,72,16,27,35,25,35,39,0
Ghana,3,55,14,40,48,30,45,40,0
Portugal,5,93,13,61,72,36,53,73,0
Spain,4,100,13,33,46,24,40,65,0
Poland,4,71,12,35,44,47,46,55,0
United States,4,80,11,31,38,20,45,48,0
Tunisia,3,94,10,40,49,21,43,32,0
Denmark,3,69,8,33,44,16,27,27,0
Belgium,3,49,7,33,40,37,29,44,0
